year,event,week,team,n_matches,resid_mean,resid_sd,resid_min
2026,2026gadal,Week 1,6919,12,0.0,29.496,-39.128
2026,2026gadal,Week 1,8736,12,0.0,24.359,-39.128
2026,2026gadal,Week 1,832,12,-0.0,29.687,-46.087
2026,2026gadal,Week 1,7514,12,-0.0,25.748,-34.216
2026,2026gadal,Week 1,8849,12,0.0,27.723,-62.794
2026,2026gadal,Week 1,7451,12,-0.0,29.974,-44.053
2026,2026gadal,Week 1,6905,12,0.0,35.572,-47.297
2026,2026gadal,Week 1,6023,12,-0.0,36.527,-68.771
2026,2026gadal,Week 1,4730,12,-0.0,24.39,-55.956
2026,2026gadal,Week 1,6887,12,-0.0,28.203,-55.956
2026,2026gadal,Week 1,4026,12,-0.0,29.734,-55.956
2026,2026gadal,Week 1,4112,12,0.0,34.168,-68.771
2026,2026gadal,Week 1,11214,12,0.0,29.722,-58.794
2026,2026gadal,Week 1,6772,12,0.0,23.402,-36.421
2026,2026gadal,Week 1,10338,12,-0.0,26.096,-43.554
2026,2026gadal,Week 1,9477,12,-0.0,38.511,-68.771
2026,2026gadal,Week 1,3329,12,-0.0,27.333,-43.554
2026,2026gadal,Week 1,2974,12,0.0,38.09,-62.794
2026,2026gadal,Week 1,6829,12,-0.0,36.193,-48.622
2026,2026gadal,Week 1,9480,12,0.0,15.599,-43.748
2026,2026gadal,Week 1,6712,12,0.0,25.558,-62.794
2026,2026gadal,Week 1,5219,12,-0.0,27.33,-58.794
2026,2026gadal,Week 1,10376,12,0.0,27.198,-48.622
2026,2026gadal,Week 1,9770,12,0.0,30.91,-49.386
2026,2026milak,Week 1,5559,12,0.0,16.202,-25.564
2026,2026milak,Week 1,9203,12,0.0,28.456,-71.353
2026,2026milak,Week 1,9239,12,0.0,14.763,-15.906
2026,2026milak,Week 1,8397,12,-0.0,31.702,-40.897
2026,2026milak,Week 1,3875,12,0.0,25.503,-51.362
2026,2026milak,Week 1,5623,12,-0.0,37.018,-85.34
2026,2026milak,Week 1,2959,12,0.0,24.366,-40.514
2026,2026milak,Week 1,8608,12,0.0,45.366,-78.073
2026,2026milak,Week 1,4453,12,-0.0,21.149,-40.514
2026,2026milak,Week 1,11407,12,0.0,32.514,-78.073
2026,2026milak,Week 1,4327,12,0.0,24.24,-41.991
2026,2026milak,Week 1,9215,12,0.0,28.429,-51.066
2026,2026milak,Week 1,1188,12,0.0,26.973,-64.335
2026,2026milak,Week 1,10651,12,0.0,25.73,-64.335
2026,2026milak,Week 1,5675,12,0.0,39.212,-64.335
2026,2026milak,Week 1,2767,12,0.0,35.503,-51.362
2026,2026milak,Week 1,5610,12,0.0,17.421,-37.804
2026,2026milak,Week 1,9566,12,0.0,30.935,-35.558
2026,2026milak,Week 1,5152,12,0.0,29.542,-33.541
2026,2026milak,Week 1,5676,12,0.0,24.053,-41.991
2026,2026milak,Week 1,5248,12,-0.0,20.011,-35.558
2026,2026milak,Week 1,8041,12,0.0,32.317,-53.471
2026,2026milak,Week 1,245,12,0.0,39.332,-71.353
2026,2026milak,Week 1,11386,12,0.0,34.671,-53.471
2026,2026milak,Week 1,3658,12,0.0,33.497,-38.767
2026,2026milak,Week 1,9703,12,0.0,34.427,-85.34
2026,2026milak,Week 1,9638,12,0.0,27.392,-76.443
2026,2026milak,Week 1,7658,12,0.0,31.271,-76.443
2026,2026milak,Week 1,5980,12,-0.0,27.473,-46.621
2026,2026milak,Week 1,8126,12,-0.0,26.265,-40.228
2026,2026milak,Week 1,6002,12,-0.0,40.473,-85.34
2026,2026milak,Week 1,10473,12,-0.0,26.153,-37.804
2026,2026milak,Week 1,9672,12,0.0,22.49,-38.767
2026,2026milak,Week 1,858,12,-0.0,31.317,-78.073
2026,2026milak,Week 1,7256,12,0.0,13.791,-31.752
2026,2026milak,Week 1,4237,12,0.0,41.247,-71.353
2026,2026milak,Week 1,7911,12,0.0,20.15,-38.767
2026,2026milak,Week 1,7226,12,0.0,28.5,-51.066
2026,2026sccha,Week 1,10367,12,0.0,20.999,-29.08
2026,2026sccha,Week 1,11398,12,0.0,14.258,-36.069
2026,2026sccha,Week 1,8137,12,0.0,18.291,-35.394
2026,2026sccha,Week 1,11167,12,0.0,22.662,-36.382
2026,2026sccha,Week 1,11254,12,0.0,26.132,-68.588
2026,2026sccha,Week 1,7085,12,0.0,25.004,-35.309
2026,2026sccha,Week 1,6366,12,0.0,34.45,-33.047
